,BCOMTR Index,HFRIFWI Index,LBUSTRUU Index,LG30TRUU Index,LMBITR Index,NDDUE15X Index,NDDUJN Index,NDDUNA Index,NDDUPXJ Index,NDDUUK Index,NDDUWXUS Index,NDUEEGF Index,RU10GRTR Index,RU10VATR Index,RU20GRTR Index,RU20INTR Index,RU20VATR Index,RUMCINTR Index,RUMRINTR Index,RUTPINTR Index,S5COND Index,S5CONS Index,S5ENRS Index,S5FINL Index,S5HLTH Index,S5INDU Index,S5INFT Index,S5MATR Index,S5RLST Index,S5TELS Index,S5UTIL Index,SPXT Index
1990/1/2,87.304,#N/A N/A,397.08,#N/A N/A,244.1117,947.003,5698.921,#N/A N/A,#N/A N/A,967.641,1641.221,#N/A N/A,100.26,108.794,737.281,561.2,632.4,658.5,#N/A N/A,546.3,73.3261,62.86,92.03,77.35,73.63,76.87,67.14,79.88,#N/A N/A,101.27,104.6,386.16
1990/1/3,88.5455,#N/A N/A,396.36,#N/A N/A,244.1117,947.003,5698.921,#N/A N/A,#N/A N/A,967.641,1641.221,#N/A N/A,100.26,108.794,737.281,563.96,632.4,658.5,#N/A N/A,546.3,73.1503,62.72,90.74,77.48,74.18,76.81,67.29,80.17,#N/A N/A,100.47,103.66,385.17
1990/1/4,87.8634,#N/A N/A,396.88,#N/A N/A,244.1117,947.003,5698.921,#N/A N/A,#N/A N/A,967.641,1641.221,#N/A N/A,100.26,108.794,737.281,561.97,632.4,658.5,#N/A N/A,546.3,72.8757,61.89,89.68,76.97,73.68,76.54,67.64,79.92,#N/A N/A,97.78,102.09,382.02
1990/1/5,87.1479,#N/A N/A,396.72,#N/A N/A,244.1117,947.003,5698.921,#N/A N/A,#N/A N/A,967.641,1641.221,#N/A N/A,100.26,108.794,737.281,560.48,632.4,658.5,#N/A N/A,546.3,72.3403,61.38,88.79,76.24,72.6,76.08,67.26,79.59,#N/A N/A,95.64,100.67,378.3
1990/1/8,85.825,#N/A N/A,396.72,#N/A N/A,244.1117,947.003,5698.921,#N/A N/A,#N/A N/A,967.641,1641.221,#N/A N/A,100.26,108.794,737.281,560.47,632.4,658.5,#N/A N/A,546.3,72.4688,61.41,89.65,76.31,73.01,76.42,67.75,79.61,#N/A N/A,97.12,100.5,380.04
1990/1/9,86.1635,#N/A N/A,396.8,#N/A N/A,244.1117,947.003,5698.921,#N/A N/A,#N/A N/A,967.641,1641.221,#N/A N/A,100.26,108.794,737.281,559.78,632.4,658.5,#N/A N/A,546.3,71.5287,60.72,88.61,75.22,72.18,75.47,67.18,78.99,#N/A N/A,95.64,99.57,375.56
1990/1/10,87.3303,#N/A N/A,396.92,#N/A N/A,244.1117,947.003,5698.921,#N/A N/A,#N/A N/A,967.641,1641.221,#N/A N/A,100.26,108.794,737.281,555.45,632.4,658.5,#N/A N/A,546.3,70.932,60.19,88.43,74.51,71.84,75.05,66.56,78.77,#N/A N/A,94.04,100.07,373.09
1990/1/11,87.9795,#N/A N/A,396.96,#N/A N/A,244.1117,947.003,5698.921,#N/A N/A,#N/A N/A,967.641,1641.221,#N/A N/A,100.26,108.794,737.281,555.68,632.4,658.5,#N/A N/A,546.3,71.0692,60.34,89.18,74.83,72.26,75.28,66.79,79.15,#N/A N/A,93.83,100.36,374.4
1990/1/12,87.493,#N/A N/A,396.32,#N/A N/A,244.1117,947.003,5698.921,#N/A N/A,#N/A N/A,967.641,1641.221,#N/A N/A,100.26,108.794,737.281,543.53,632.4,658.5,#N/A N/A,546.3,69.1202,58.85,87.3,73.11,70.42,73.4,65.26,77.24,#N/A N/A,91.1,98.22,365.22
1990/1/15,86.6019,#N/A N/A,396.6,#N/A N/A,244.1117,947.003,5698.921,#N/A N/A,#N/A N/A,967.641,1641.221,#N/A N/A,100.26,108.794,737.281,538.77,632.4,658.5,#N/A N/A,546.3,68.3542,58.41,87.13,72.23,69.57,72.78,65.18,76.17,#N/A N/A,89.94,97.87,362.07
